age,time_in_bed,pct_sleeping,favorite_food,hate_food
31,5,0.8307653200179341,ice_cream,broccoli
17,2,0.05835938714401012,pizza,candycorn
31,2,0.9067985159489229,ice_cream,eggs
39,5,0.9777442396814442,ice_cream,broccoli
92,7,0.3863310578499437,pizza,eggs
71,2,0.9060386740638456,ice_cream,eggs
18,2,0.014649886739016904,ice_cream,candycorn
54,7,0.1691048160429348,pizza,broccoli
4,3,0.22237791993278133,ice_cream,candycorn
22,0,0.9397734393638872,pizza,candycorn
71,4,0.5449273859210219,pizza,candycorn
27,0,0.9712812580200301,ice_cream,candycorn
61,7,0.20575599740060502,pizza,eggs
52,1,0.2816298929297558,taco,broccoli
98,3,0.33824553914551714,ice_cream,candycorn
79,3,0.7379722685815865,pizza,eggs
96,8,0.8997637620463261,pizza,broccoli
33,1,0.4231691323513117,pizza,candycorn
51,1,0.04609148341063607,pizza,eggs
62,4,0.03743118611135077,ice_cream,broccoli
0,3,0.6089944342395565,ice_cream,broccoli
14,4,0.5445543453414176,ice_cream,broccoli
13,2,0.12402265220486253,taco,broccoli
28,1,0.623429941183439,ice_cream,candycorn
32,6,0.29409282097328826,pizza,eggs
29,1,0.39918330739429,taco,broccoli
0,1,0.05548446923704353,pizza,candycorn
25,2,0.30007464953286145,taco,candycorn
53,8,0.9071605410257366,pizza,candycorn
50,6,0.21198404217930833,pizza,eggs
22,2,0.8216920071959541,ice_cream,candycorn
71,4,0.011342534564644513,taco,candycorn
47,7,0.5110338526741475,taco,candycorn
52,4,0.6567284255516149,taco,eggs
8,1,0.7680043855112172,pizza,eggs
58,8,0.364320893121745,pizza,eggs
15,2,0.04616348137550652,ice_cream,candycorn
80,3,0.9731542232854515,ice_cream,eggs
26,1,0.6976710723322092,ice_cream,eggs
74,2,0.7625545600180551,pizza,eggs
71,5,0.14779394548496383,taco,eggs
1,0,0.9447189872767618,pizza,eggs
48,1,0.4407286854325453,ice_cream,eggs
93,3,0.0769414663970216,ice_cream,broccoli
48,3,0.9395735495482047,ice_cream,eggs
65,8,0.1973664649265915,taco,candycorn
49,0,0.728297759401298,taco,eggs
1,7,0.489535135012117,taco,candycorn
78,0,0.8224521400480657,pizza,eggs
69,4,0.11552811618651793,ice_cream,candycorn
23,2,0.42276685478940845,pizza,eggs
10,7,0.9467484587606952,ice_cream,candycorn
39,6,0.8095401282049138,ice_cream,candycorn
89,5,0.29229984717498414,ice_cream,broccoli
